grid_size,horizon_condition,horizon_steps,runtime_sec
5,short (2N),10,0.35288500785827637
5,long (5N),25,0.36621594429016113
6,short (2N),12,0.45455193519592285
6,long (5N),30,0.4706549644470215
7,short (2N),14,0.5358798503875732
7,long (5N),35,0.5877869129180908
8,short (2N),16,0.8826401233673096
8,long (5N),40,0.7666051387786865
9,short (2N),18,0.9380612373352051
9,long (5N),45,0.7989239692687988
10,short (2N),20,1.6474199295043945
10,long (5N),50,0.9160730838775635
