K,seed,avg_log_likelihood,cmse,precision,recall,f1,fpr
1,0,-166.70055160477054,0.015625,1.0,0.8,0.888888888888889,0.0
1,1,-166.68748183627338,0.015625,1.0,0.8,0.888888888888889,0.0
1,2,-166.70023620956363,0.015625,1.0,0.8,0.888888888888889,0.0
1,3,-166.69531462087653,0.015625,1.0,0.8,0.888888888888889,0.0
1,4,-166.70239986137136,0.015625,1.0,0.8,0.888888888888889,0.0
1,5,-166.70422474649519,0.015625,1.0,0.8,0.888888888888889,0.0
1,6,-166.70674659360478,0.015625,1.0,0.8,0.888888888888889,0.0
1,7,-166.69283321837818,0.015625,1.0,0.8,0.888888888888889,0.0
1,8,-166.70514172386348,0.015625,1.0,0.8,0.888888888888889,0.0
1,9,-166.6791899838032,0.015625,1.0,0.8,0.888888888888889,0.0
1,10,-166.69915137533363,0.015625,1.0,0.8,0.888888888888889,0.0
1,11,-166.68434403718044,0.015625,1.0,0.8,0.888888888888889,0.0
1,12,-166.70118611832632,0.015625,1.0,0.8,0.888888888888889,0.0
1,13,-166.68466582442264,0.015625,1.0,0.8,0.888888888888889,0.0
1,14,-166.69257650349937,0.015625,1.0,0.8,0.888888888888889,0.0
1,15,-166.68699772771578,0.015625,1.0,0.8,0.888888888888889,0.0
1,16,-166.6558580920106,0.015625,1.0,0.8,0.888888888888889,0.0
1,17,-166.6938373277464,0.015625,1.0,0.8,0.888888888888889,0.0
1,18,-166.70581423380855,0.015625,1.0,0.8,0.888888888888889,0.0
1,19,-166.6825940472052,0.015625,1.0,0.8,0.888888888888889,0.0
1,20,-166.70351466918578,0.015625,1.0,0.8,0.888888888888889,0.0
1,21,-166.70252365992587,0.015625,1.0,0.8,0.888888888888889,0.0
1,22,-166.70165792486912,0.015625,1.0,0.8,0.888888888888889,0.0
1,23,-166.686048388108,0.015625,1.0,0.8,0.888888888888889,0.0
1,24,-166.7021244531943,0.015625,1.0,0.8,0.888888888888889,0.0
1,25,-166.70932373270028,0.015625,1.0,0.8,0.888888888888889,0.0
1,26,-166.66333666862297,0.015625,1.0,0.8,0.888888888888889,0.0
1,27,-166.7065542609485,0.015625,1.0,0.8,0.888888888888889,0.0
1,28,-166.70126268746057,0.015625,1.0,0.8,0.888888888888889,0.0
1,29,-166.70753671025687,0.015625,1.0,0.8,0.888888888888889,0.0
1,30,-166.70312097031928,0.015625,1.0,0.8,0.888888888888889,0.0
1,31,-166.68432765353185,0.015625,1.0,0.8,0.888888888888889,0.0
1,32,-166.70483164527027,0.015625,1.0,0.8,0.888888888888889,0.0
1,33,-166.70537065629316,0.015625,1.0,0.8,0.888888888888889,0.0
1,34,-166.70742273883727,0.015625,1.0,0.8,0.888888888888889,0.0
1,35,-166.6851907565656,0.015625,1.0,0.8,0.888888888888889,0.0
1,36,-166.68560843817585,0.015625,1.0,0.8,0.888888888888889,0.0
1,37,-166.70571095463225,0.015625,1.0,0.8,0.888888888888889,0.0
1,38,-166.70074442532214,0.015625,1.0,0.8,0.888888888888889,0.0
1,39,-166.70961024036927,0.015625,1.0,0.8,0.888888888888889,0.0
1,40,-166.70382447459232,0.015625,1.0,0.8,0.888888888888889,0.0
1,41,-166.68348854291227,0.015625,1.0,0.8,0.888888888888889,0.0
1,42,-166.69918652730442,0.015625,1.0,0.8,0.888888888888889,0.0
1,43,-166.71076974057775,0.015625,1.0,0.8,0.888888888888889,0.0
1,44,-166.69421256380312,0.015625,1.0,0.8,0.888888888888889,0.0
1,45,-166.69043534885097,0.015625,1.0,0.8,0.888888888888889,0.0
1,46,-166.69808355319472,0.015625,1.0,0.8,0.888888888888889,0.0
1,47,-166.70420822602404,0.015625,1.0,0.8,0.888888888888889,0.0
1,48,-166.69757973101827,0.015625,1.0,0.8,0.888888888888889,0.0
1,49,-166.70330117220303,0.015625,1.0,0.8,0.888888888888889,0.0
2,0,-166.6674988046343,0.015625,1.0,0.8,0.888888888888889,0.0
2,1,-166.65590444285,0.015625,1.0,0.8,0.888888888888889,0.0
2,2,-166.64749794610137,0.015625,1.0,0.8,0.888888888888889,0.0
2,3,-166.66592177059837,0.015625,1.0,0.8,0.888888888888889,0.0
