em_iters,mse_mean,mse_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,cos_sim_w1_grass_mean,cos_sim_w1_grass_std,cos_sim_w2_rock_mean,cos_sim_w2_rock_std,cluster_ari_mean,cluster_ari_std
1,0.015625,0.0,1.0,0.0,0.8000000000000003,2.220446049250313e-16,0.8888888888888891,1.1102230246251565e-16,0.6588314867498931,0.16930807075002333,0.272667948768903,0.21003588802723114,0.2500125941887806,0.14684894659893907
3,0.015625,0.0,1.0,0.0,0.8000000000000003,2.220446049250313e-16,0.8888888888888891,1.1102230246251565e-16,0.7076022042796904,0.13799355382774853,0.5373214110985358,0.17965596772096792,0.39132482138660785,0.10474717525637123
6,0.015625,0.0,1.0,0.0,0.8000000000000003,2.220446049250313e-16,0.8888888888888891,1.1102230246251565e-16,0.7810298098233652,0.09698208580795226,0.692653883990817,0.1258322475018323,0.45824655468055003,0.10134014200032908
9,0.015625,0.0,1.0,0.0,0.8000000000000003,2.220446049250313e-16,0.8888888888888891,1.1102230246251565e-16,0.8191393362903033,0.06113310860988962,0.7665100230550922,0.08761621320149629,0.4991178569180465,0.07494800898996218
12,0.015625,0.0,1.0,0.0,0.8000000000000003,2.220446049250313e-16,0.8888888888888891,1.1102230246251565e-16,0.8319275777498079,0.04903780997691905,0.7863349758233026,0.07706138850665238,0.4979361477498888,0.10699567459577498
15,0.015625,0.0,1.0,0.0,0.8000000000000003,2.220446049250313e-16,0.8888888888888891,1.1102230246251565e-16,0.8364244366235337,0.04443608084562403,0.7862952530221771,0.07395371965978621,0.4977324615685441,0.10456324363819124
