em_iters,seed,runtime_sec,mse,precision,recall,f1,mcc,weight_cosine_sim_expert1_grass,weight_cosine_sim_expert2_rock,cluster_ari
1,0,0.42188286781311035,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.700703156557056,0.09387076098048255,0.18644731049550797
1,1,0.49335289001464844,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7328461813218966,0.2632699839114464,0.4036631352127851
1,2,0.4109077453613281,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7537820376823953,0.6110753236628831,0.33041840441275394
1,3,0.4265120029449463,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.5230039623097026,0.1795276129479846,0.37885106955468856
1,4,0.5046839714050293,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.4082948390926899,0.6735706390158295,0.16978849748909497
1,5,0.46158695220947266,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.6305068514376526,0.15935971900616325,0.40381884944920443
1,6,0.5625343322753906,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8498670463427659,-0.06848925914355827,0.30677700519048084
1,7,0.4212801456451416,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.6096475612345994,0.36238108068199704,0.0364963503649635
1,8,0.4206089973449707,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.4926148237752987,0.4967100455326799,0.3077261613691932
1,9,0.4636819362640381,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.5185948225080678,0.07464040597007914,0.2439793262710311
1,10,0.6133921146392822,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.9113918763813544,0.33821693750299936,0.5431347187256458
1,11,0.5649561882019043,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8520235722548735,-0.05083697500268554,0.061765889714222984
1,12,0.5293068885803223,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.618623290874088,0.27035749778857765,0.002427096100870114
1,13,0.5244929790496826,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.9068277636381744,0.33411645888047514,0.18761295364626582
1,14,0.44338202476501465,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.37374451583778084,0.35224899979819163,0.18728214483500016
3,0,1.102308988571167,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7340733541976996,0.4038417261390432,0.37814121113918264
3,1,1.1829519271850586,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7764098078694728,0.6379174768230954,0.4302338386990199
3,2,1.0603089332580566,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7893082029607851,0.8297815510975688,0.40405226838937014
3,3,1.0738391876220703,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.648526667929897,0.38904464682281376,0.48515105906537936
3,4,1.2339019775390625,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.4901100719029615,0.8146053127759658,0.18761295364626582
3,5,1.1799297332763672,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7206639468503085,0.474568480564683,0.4570561159533836
3,6,1.329246997833252,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8872257466235296,0.5629426629962698,0.3782427188031781
3,7,1.1437387466430664,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.6798704400994203,0.6332660151048483,0.37854704306009324
3,8,1.1150951385498047,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.579673046214978,0.7153450954939308,0.5137714975687759
3,9,1.2060091495513916,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.5717815255936334,0.25420408329047794,0.48505024049347056
3,10,1.332399845123291,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8655533429816715,0.6863701922419352,0.5734638922888617
3,11,1.2808241844177246,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8668010108192469,0.2022686146897662,0.3075116988146288
3,12,1.221081018447876,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.5546678062286955,0.5111954536101792,0.40381884944920443
3,13,1.2401893138885498,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.9252417125127178,0.4367121840866736,0.2439793262710311
3,14,1.1450269222259521,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.5241263814103408,0.5077576707407861,0.24323960715727164
6,0,2.115186929702759,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8085922346503682,0.560564336602233,0.37814121113918264
6,1,2.242587089538574,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7991700852102136,0.7818320747021479,0.4302338386990199
6,2,2.1338508129119873,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8563698046620027,0.8697249671149625,0.5733524869815048
6,3,2.1663029193878174,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7302776709919946,0.5494295523851191,0.48515105906537936
