restart,n_states,n_states_reachable_from_start,n_gt_pairs,frac_gt_pairs_in_reachable_states,tpr,tpr_reachable_states,tpr_unreachable_states,frac_gt_pairs_demonstrated_by_expert,mean_pi_unconstrained_detected,mean_pi_unconstrained_missed,frac_missed_absorbed_pi_lt_0.05,frac_missed_in_unreachable_states
0,241,26,659,0.09256449165402124,0.5796661608497724,0.7213114754098361,0.5652173913043478,0.15477996965098634,0.12999913970376234,0.31459701959984276,0.01444043321299639,0.9386281588447654
1,220,24,556,0.0737410071942446,0.19784172661870503,0.17073170731707318,0.2,0.1223021582733813,0.21903503096307755,0.21352524567397915,0.013452914798206279,0.9237668161434978
2,244,20,688,0.06540697674418605,0.5944767441860465,0.7111111111111111,0.5863141524105754,0.14680232558139536,0.15372620928874528,0.3037652352718894,0.035842293906810034,0.953405017921147
3,222,23,573,0.08551483420593368,0.6265270506108203,0.6122448979591837,0.6278625954198473,0.1256544502617801,0.1318653737473693,0.3072520527548172,0.0514018691588785,0.9112149532710281
4,238,24,614,0.10097719869706841,0.6872964169381107,0.7258064516129032,0.6829710144927537,0.15309446254071662,0.1396148180458361,0.36704778398636756,0.041666666666666664,0.9114583333333334
5,236,20,643,0.07776049766718507,0.5458786936236392,0.68,0.5345699831365935,0.14774494556765164,0.11330791688282346,0.30578640759374814,0.0136986301369863,0.9452054794520548
