state_id,state_key,action,action_idx,eligibility_infeasible,infeasible_rate,clinical_reason,inferred_probability,threshold_used,inferred_infeasible,match
13,12|3|1|3|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.0,0.16,False,False
13,12|3|1|3|0|0|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.16666666666666666,0.16,True,True
13,12|3|1|3|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.3333333333333333,0.16,True,True
14,18|3|1|2|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
14,18|3|1|2|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.8333333333333334,0.16,True,True
14,18|3|1|2|0|0|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.0,0.16,False,False
14,18|3|1|2|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.3333333333333333,0.16,True,True
15,24|3|1|2|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
15,24|3|1|2|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.8333333333333334,0.16,True,True
15,24|3|1|2|0|0|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.0,0.16,False,False
15,24|3|1|2|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.3333333333333333,0.16,True,True
16,0|2|1|3|0|0|0|1|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
16,0|2|1|3|0|0|0|1|0,Immuno,1,True,1.0,PD-L1 < 1%,0.5,0.16,True,True
16,0|2|1|3|0|0|0|1|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
16,0|2|1|3|0|0|0|1|0,Surgery,3,True,1.0,allowed,0.0,0.16,False,False
17,6|2|1|3|0|0|0|1|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
17,6|2|1|3|0|0|0|1|0,Immuno,1,True,1.0,PD-L1 < 1%,0.5,0.16,True,True
17,6|2|1|3|0|0|0|1|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
17,6|2|1|3|0|0|0|1|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
