threshold,tpr,fpr,tp,fp,tn,fn
0.0,1.0,1.0,850,454,0,0
0.05,0.7282352941176471,0.006607929515418502,619,3,451,231
0.1,0.7282352941176471,0.006607929515418502,619,3,451,231
0.15000000000000002,0.7282352941176471,0.006607929515418502,619,3,451,231
0.2,0.6258823529411764,0.006607929515418502,532,3,451,318
0.25,0.6258823529411764,0.006607929515418502,532,3,451,318
0.30000000000000004,0.6258823529411764,0.006607929515418502,532,3,451,318
0.35000000000000003,0.5094117647058823,0.0,433,0,454,417
0.4,0.5094117647058823,0.0,433,0,454,417
0.45,0.5094117647058823,0.0,433,0,454,417
0.5,0.5094117647058823,0.0,433,0,454,417
0.55,0.35058823529411764,0.0,298,0,454,552
0.6000000000000001,0.35058823529411764,0.0,298,0,454,552
0.65,0.35058823529411764,0.0,298,0,454,552
0.7000000000000001,0.17176470588235293,0.0,146,0,454,704
0.75,0.17176470588235293,0.0,146,0,454,704
0.8,0.17176470588235293,0.0,146,0,454,704
0.8500000000000001,0.0058823529411764705,0.0,5,0,454,845
0.9,0.0058823529411764705,0.0,5,0,454,845
0.9500000000000001,0.0058823529411764705,0.0,5,0,454,845
1.0,0.0058823529411764705,0.0,5,0,454,845
