state_id,action,eligibility_infeasible,inferred_infeasible,infeasible_rate,clinical_reason
52,Immuno,True,False,1.0,PD-L1 < 1%
52,Chemo,True,True,1.0,ECOG/perf_status > 2
52,Surgery,True,True,1.0,not first-line month
53,Targeted,True,True,1.0,EGFR/ALK not eligible
53,Immuno,True,False,1.0,PD-L1 < 1%
53,Chemo,True,True,1.0,ECOG/perf_status > 2
53,Surgery,True,True,1.0,not first-line month
54,Targeted,True,True,1.0,EGFR/ALK not eligible
54,Surgery,True,False,1.0,allowed
55,Targeted,True,True,1.0,EGFR/ALK not eligible
55,Surgery,True,True,1.0,not first-line month
56,Targeted,True,True,1.0,EGFR/ALK not eligible
56,Surgery,True,True,1.0,not first-line month
57,Targeted,True,True,1.0,EGFR/ALK not eligible
57,Surgery,True,True,1.0,not first-line month
58,Targeted,True,True,1.0,EGFR/ALK not eligible
58,Surgery,True,True,1.0,not first-line month
59,Targeted,True,True,1.0,EGFR/ALK not eligible
59,Immuno,True,False,1.0,allowed
59,Chemo,True,False,1.0,ECOG/perf_status > 2
59,Surgery,True,True,1.0,ECOG/perf_status > 2
60,Targeted,True,True,1.0,EGFR/ALK not eligible
60,Immuno,True,False,1.0,allowed
60,Chemo,True,False,1.0,ECOG/perf_status > 2
60,Surgery,True,True,1.0,not first-line month
61,Targeted,True,True,1.0,EGFR/ALK not eligible
61,Immuno,True,False,1.0,allowed
61,Chemo,True,False,1.0,ECOG/perf_status > 2
61,Surgery,True,True,1.0,not first-line month
62,Targeted,True,True,1.0,EGFR/ALK not eligible
62,Immuno,True,False,1.0,allowed
62,Chemo,True,False,1.0,ECOG/perf_status > 2
62,Surgery,True,True,1.0,not first-line month
63,Targeted,True,True,1.0,EGFR/ALK not eligible
63,Immuno,True,False,1.0,allowed
63,Chemo,True,False,1.0,ECOG/perf_status > 2
63,Surgery,True,True,1.0,not first-line month
64,Targeted,True,True,1.0,EGFR/ALK not eligible
64,Immuno,True,True,1.0,PD-L1 < 1%
64,Surgery,True,False,1.0,allowed
65,Targeted,True,True,1.0,EGFR/ALK not eligible
65,Immuno,True,True,1.0,PD-L1 < 1%
65,Surgery,True,True,1.0,not first-line month
66,Targeted,True,True,1.0,EGFR/ALK not eligible
66,Immuno,True,False,1.0,PD-L1 < 1%
66,Surgery,True,True,1.0,not first-line month
67,Targeted,True,True,1.0,EGFR/ALK not eligible
67,Immuno,True,True,1.0,PD-L1 < 1%
67,Surgery,True,True,1.0,not first-line month
68,Targeted,True,True,1.0,EGFR/ALK not eligible
68,Immuno,True,True,1.0,PD-L1 < 1%
68,Surgery,True,True,1.0,not first-line month
69,Surgery,True,False,1.0,allowed
70,Surgery,True,True,1.0,not first-line month
71,Surgery,True,True,1.0,not first-line month
72,Surgery,True,True,1.0,not first-line month
73,Surgery,True,True,1.0,not first-line month
74,Targeted,True,True,1.0,EGFR/ALK not eligible
74,Immuno,True,True,1.0,PD-L1 < 1%
74,Surgery,True,False,1.0,allowed
75,Targeted,True,True,1.0,EGFR/ALK not eligible
75,Immuno,True,True,1.0,PD-L1 < 1%
75,Surgery,True,True,1.0,not first-line month
76,Targeted,True,True,1.0,EGFR/ALK not eligible
76,Immuno,True,True,1.0,PD-L1 < 1%
76,Surgery,True,True,1.0,not first-line month
77,Targeted,True,True,1.0,EGFR/ALK not eligible
77,Immuno,True,True,1.0,PD-L1 < 1%
77,Surgery,True,True,1.0,not first-line month
78,Targeted,True,True,1.0,EGFR/ALK not eligible
78,Immuno,True,True,1.0,PD-L1 < 1%
78,Surgery,True,True,1.0,not first-line month
79,Targeted,True,True,1.0,EGFR/ALK not eligible
79,Surgery,True,False,1.0,allowed
80,Targeted,True,True,1.0,EGFR/ALK not eligible
80,Surgery,True,True,1.0,not first-line month
81,Targeted,True,True,1.0,EGFR/ALK not eligible
81,Surgery,True,True,1.0,not first-line month
82,Targeted,True,True,1.0,EGFR/ALK not eligible
82,Surgery,True,True,1.0,not first-line month
83,Targeted,True,True,1.0,EGFR/ALK not eligible
83,Surgery,True,True,1.0,not first-line month
84,Targeted,True,True,1.0,EGFR/ALK not eligible
84,Surgery,True,False,1.0,allowed
85,Targeted,True,True,1.0,EGFR/ALK not eligible
85,Surgery,True,True,1.0,not first-line month
86,Targeted,True,True,1.0,EGFR/ALK not eligible
86,Surgery,True,True,1.0,not first-line month
87,Targeted,True,True,1.0,EGFR/ALK not eligible
87,Surgery,True,True,1.0,not first-line month
88,Targeted,True,True,1.0,EGFR/ALK not eligible
88,Surgery,True,True,1.0,not first-line month
89,Targeted,True,True,1.0,EGFR/ALK not eligible
89,Surgery,True,True,1.0,not first-line month
90,Targeted,True,True,1.0,EGFR/ALK not eligible
90,Immuno,True,False,1.0,PD-L1 < 1%
90,Chemo,True,True,1.0,ECOG/perf_status > 2
90,Surgery,True,True,1.0,not first-line month
91,Targeted,True,True,1.0,EGFR/ALK not eligible
91,Immuno,True,False,1.0,PD-L1 < 1%
91,Chemo,True,True,1.0,ECOG/perf_status > 2
91,Surgery,True,True,1.0,not first-line month
92,Targeted,True,True,1.0,EGFR/ALK not eligible
92,Immuno,True,False,1.0,PD-L1 < 1%
92,Chemo,True,True,1.0,ECOG/perf_status > 2
92,Surgery,True,True,1.0,not first-line month
93,Targeted,True,True,1.0,EGFR/ALK not eligible
93,Immuno,True,True,1.0,PD-L1 < 1%
93,Surgery,True,False,1.0,allowed
