restart,seed,bootstrap,joint_log_likelihood_avg,n_constraints,tpr,fpr,precision
0,17,True,-6.090235571012194,382,0.44941176470588234,0.0,1.0
1,18,True,-8.206134702160895,113,0.12941176470588237,0.006607929515418502,0.9734513274336283
2,19,True,-6.581983532093297,409,0.4811764705882353,0.0,1.0
3,20,True,-6.835580975892935,359,0.4223529411764706,0.0,1.0
4,21,True,-6.429337212692704,425,0.4964705882352941,0.006607929515418502,0.9929411764705882
5,22,True,-6.615359998581077,351,0.41294117647058826,0.0,1.0
