seed,weight_cosine_sim_expert1_grass,weight_cosine_sim_expert2_rock,cluster_ari
0,0.8456926667983002,0.6693552583936245,0.5135571915963368
1,0.8105632554135397,0.808822904232695,0.4302338386990199
2,0.8807851639978741,0.8712161072988123,0.5733524869815048
3,0.7607390448885307,0.6343997575064058,0.48515105906537936
4,0.8215923719653402,0.8868419898726976,0.37885106955468856
5,0.7869637560609329,0.6501343640614173,0.4570561159533836
6,0.8793645748198081,0.812424565545466,0.3782427188031781
7,0.7998803508929265,0.7670760238186443,0.4848148435363599
8,0.7814923173769189,0.8355470960824971,0.5134936572464123
9,0.7758551761113511,0.6574532004621956,0.6044056963032804
10,0.8933059374167528,0.81946431175667,0.5734638922888617
11,0.9258400327456986,0.7274860269680737,0.5429855388345354
12,0.8033418611895969,0.8148000174119117,0.6363324680413381
13,0.8857265413508377,0.8209832082614561,0.4847980212325664
14,0.7189105656648076,0.8702583992851379,0.5430004612075475
