method,seed,runtime_sec,mse,tp,fp,fn,tn,precision,recall,f1,mcc,inferred_constraints
ICRL,2,18.461671829223633,0.390625,5,25,0,34,0.16666666666666666,1.0,0.2857142857142857,0.30991159665316337,"[0, 1, 2, 4, 5, 6, 7, 9, 12, 13, 14, 15, 16, 17, 18, 24, 25, 26, 27, 35, 37, 38, 40, 42, 43, 44, 48, 54, 56, 62]"
ICRL,3,16.90620994567871,0.34375,5,22,0,37,0.18518518518518517,1.0,0.3125,0.34078304276295374,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 16, 17, 22, 30, 32, 34, 35, 38, 40, 41, 42, 43, 48, 56]"
ICRL,4,16.85930299758911,0.3125,5,20,0,39,0.2,1.0,0.33333333333333337,0.3635978407946181,"[0, 1, 4, 5, 6, 7, 9, 12, 13, 14, 16, 17, 18, 25, 26, 27, 34, 35, 38, 42, 43, 46, 48, 54, 56]"
ICRL,5,17.479207038879395,0.34375,5,22,0,37,0.18518518518518517,1.0,0.3125,0.34078304276295374,"[0, 1, 4, 5, 8, 9, 11, 12, 13, 16, 17, 30, 34, 37, 38, 40, 41, 42, 43, 48, 49, 50, 51, 56, 57, 58, 59]"
ICRL,6,16.74586510658264,0.375,5,24,0,35,0.1724137931034483,1.0,0.29411764705882354,0.3198114581908866,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 26, 27, 30, 35, 37, 38, 42, 43, 46, 56]"
ICRL,7,16.977613925933838,0.28125,5,18,0,41,0.21739130434782608,1.0,0.3571428571428571,0.3886753575026917,"[0, 4, 7, 8, 9, 11, 12, 16, 17, 34, 35, 37, 38, 42, 43, 45, 46, 48, 50, 51, 53, 54, 56]"
ICRL,8,16.869078159332275,0.46875,4,29,1,30,0.12121212121212122,0.8,0.2105263157894737,0.16565042996291704,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 23, 25, 32, 39, 40, 41, 42, 43, 46, 48, 49, 50, 51, 56, 57, 58, 59]"
ICRL,9,17.035610675811768,0.421875,5,27,0,32,0.15625,1.0,0.2702702702702703,0.291111254869791,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 34, 35, 38, 40, 41, 42, 43, 46, 50, 51, 54, 56, 57, 58, 62]"
ICRL,10,16.83795928955078,0.3125,5,20,0,39,0.2,1.0,0.33333333333333337,0.3635978407946181,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 17, 18, 35, 38, 42, 43, 45, 46, 54, 56, 57]"
ICRL,11,17.274898052215576,0.234375,5,15,0,44,0.25,1.0,0.4,0.4317877695883728,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 37, 38, 42, 43]"
ICRL,12,17.07958436012268,0.5,5,32,0,27,0.13513513513513514,1.0,0.2380952380952381,0.24867951769188518,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 25, 26, 27, 30, 34, 35, 37, 38, 41, 42, 43, 48, 50, 52, 53, 54, 56, 57, 58]"
ICRL,13,16.758008003234863,0.3125,5,20,0,39,0.2,1.0,0.33333333333333337,0.3635978407946181,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 35, 38, 42, 43, 48, 56, 57, 58]"
ICRL,14,16.776895999908447,0.296875,3,17,2,42,0.15,0.6,0.24,0.1805657945551377,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17, 18, 42, 43, 44, 51]"
