seed,weight_cosine_sim_expert1_grass,weight_cosine_sim_expert2_rock,cluster_ari
0,0.700703156557056,0.09387076098048255,0.18644731049550797
1,0.7328461813218966,0.2632699839114464,0.4036631352127851
2,0.7537820376823953,0.6110753236628831,0.33041840441275394
3,0.5230039623097026,0.1795276129479846,0.37885106955468856
4,0.4082948390926899,0.6735706390158295,0.16978849748909497
5,0.6305068514376526,0.15935971900616325,0.40381884944920443
6,0.8498670463427659,-0.06848925914355827,0.30677700519048084
7,0.6096475612345994,0.36238108068199704,0.0364963503649635
8,0.4926148237752987,0.4967100455326799,0.3077261613691932
9,0.5185948225080678,0.07464040597007914,0.2439793262710311
10,0.9113918763813544,0.33821693750299936,0.5431347187256458
11,0.8520235722548735,-0.05083697500268554,0.061765889714222984
12,0.618623290874088,0.27035749778857765,0.002427096100870114
13,0.9068277636381744,0.33411645888047514,0.18761295364626582
14,0.37374451583778084,0.35224899979819163,0.18728214483500016
