method,seed,runtime_sec,mse,tp,fp,fn,tn,precision,recall,f1,mcc,inferred_constraints
MOCI,0,0.41912078857421875,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,1,0.49652600288391113,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,2,0.4707159996032715,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,3,0.4223189353942871,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,4,0.509486198425293,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,5,0.46591901779174805,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,6,0.5518901348114014,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,7,0.4224362373352051,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,8,0.4213681221008301,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,9,0.46504807472229004,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,10,0.5722200870513916,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,11,0.5089700222015381,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,12,0.5090548992156982,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,13,0.5303399562835693,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MOCI,14,0.4238858222961426,0.015625,4,0,1,59,1.0,0.8,0.888888888888889,0.8869423130433379,"[12, 17, 38, 43]"
MLCI,0,0.17163586616516113,0.03125,5,2,0,57,0.7142857142857143,1.0,0.8333333333333333,0.8307061088165788,"[6, 7, 12, 17, 38, 42, 43]"
MLCI,1,0.38575291633605957,0.09375,5,6,0,53,0.45454545454545453,1.0,0.625,0.6389996033381052,"[6, 7, 12, 17, 38, 42, 43, 56, 57, 58, 59]"
MLCI,2,0.1772761344909668,0.03125,5,2,0,57,0.7142857142857143,1.0,0.8333333333333333,0.8307061088165788,"[7, 12, 17, 38, 42, 43, 56]"
MLCI,3,0.21414518356323242,0.0625,4,3,1,56,0.5714285714285714,0.8,0.6666666666666666,0.6441615791174172,"[13, 14, 17, 38, 42, 43, 56]"
MLCI,4,0.4335947036743164,0.078125,5,5,0,54,0.5,1.0,0.6666666666666666,0.6764814252025461,"[12, 14, 15, 17, 38, 42, 43, 48, 56, 57]"
MLCI,5,0.319561243057251,0.078125,5,5,0,54,0.5,1.0,0.6666666666666666,0.6764814252025461,"[12, 17, 38, 42, 43, 48, 56, 57, 58, 59]"
MLCI,6,0.5603969097137451,0.078125,5,5,0,54,0.5,1.0,0.6666666666666666,0.6764814252025461,"[12, 13, 14, 15, 17, 23, 38, 42, 43, 56]"
MLCI,7,0.21576189994812012,0.0625,4,3,1,56,0.5714285714285714,0.8,0.6666666666666666,0.6441615791174172,"[7, 13, 17, 38, 42, 43, 56]"
MLCI,8,0.21382570266723633,0.0625,4,3,1,56,0.5714285714285714,0.8,0.6666666666666666,0.6441615791174172,"[7, 13, 15, 17, 38, 42, 43]"
MLCI,9,0.31133389472961426,0.046875,5,3,0,56,0.625,1.0,0.7692307692307693,0.7702079842374077,"[12, 14, 15, 17, 38, 42, 43, 56]"
MLCI,10,0.6247408390045166,0.09375,5,6,0,53,0.45454545454545453,1.0,0.625,0.6389996033381052,"[6, 7, 12, 13, 15, 17, 38, 42, 43, 57, 58]"
MLCI,11,0.4103119373321533,0.046875,5,3,0,56,0.625,1.0,0.7692307692307693,0.7702079842374077,"[12, 13, 14, 15, 17, 38, 42, 43]"
MLCI,12,0.4433279037475586,0.125,4,7,1,52,0.36363636363636365,0.8,0.5000000000000001,0.48467517083380807,"[7, 13, 15, 17, 38, 42, 43, 48, 56, 57, 58]"
MLCI,13,0.4484848976135254,0.078125,5,5,0,54,0.5,1.0,0.6666666666666666,0.6764814252025461,"[12, 14, 15, 17, 38, 42, 43, 56, 57, 58]"
MLCI,14,0.22840499877929688,0.046875,5,3,0,56,0.625,1.0,0.7692307692307693,0.7702079842374077,"[6, 7, 12, 15, 17, 38, 42, 43]"
ICRL,0,18.739707708358765,0.359375,5,23,0,36,0.17857142857142858,1.0,0.30303030303030304,0.3300891361017462,"[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16, 17, 25, 33, 34, 35, 37, 38, 40, 41, 42, 43, 46, 48, 50, 51]"
ICRL,1,17.117881059646606,0.390625,5,25,0,34,0.16666666666666666,1.0,0.2857142857142857,0.30991159665316337,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 16, 17, 18, 30, 34, 35, 37, 38, 40, 41, 42, 43, 46, 48, 50, 51, 54, 56, 57]"
